id,name,email,role,organisation_id,status
user_001,Dr. Amina Yusuf,amina.yusuf@fmolh.gov.ng,super_admin,org_gov_fed_01,Active
user_002,Dr. Olumide Adebayo,olumide.adebayo@fmolh.gov.ng,admin,org_gov_fed_01,Active
user_003,Bolanle Adebayo,bolanle.adebayo@lagosmoh.gov.ng,admin,org_gov_state_01,Active
user_004,Chinedu Okoro,chinedu.okoro@ikejalga.gov.ng,sub_admin,org_gov_lga_01,Active
user_005,Fatima Bello,fatima.bello@fmolh.gov.ng,user,org_gov_fed_01,Active
user_006,Musa Ibrahim,musa.ibrahim@fmolh.gov.ng,user,org_gov_fed_01,Active
user_007,Funke Ogunleye,funke.ogunleye@lagosmoh.gov.ng,sub_admin,org_gov_state_01,Active
user_008,Tunde Williams,tunde.williams@lagosmoh.gov.ng,user,org_gov_state_01,Active
user_009,Adunni Okafor,adunni.okafor@lagosmoh.gov.ng,user,org_gov_state_01,Active
user_010,Emeka Nwosu,emeka.nwosu@ikejalga.gov.ng,user,org_gov_lga_01,Active
user_011,Hauwa Mohammed,hauwa.mohammed@ikejalga.gov.ng,user,org_gov_lga_01,Active
user_012,Yusuf Abdullahi,yusuf.abdullahi@ikejalga.gov.ng,user,org_gov_lga_01,Active
user_013,Dr. Hassan Usman,hassan.usman@kanomoh.gov.ng,admin,org_gov_state_02,Active
user_014,Aisha Bello,aisha.bello@kanomoh.gov.ng,sub_admin,org_gov_state_02,Active
user_015,Ibrahim Musa,ibrahim.musa@dalalga.gov.ng,sub_admin,org_gov_lga_02,Active
user_016,Fatima Abdullahi,fatima.abdullahi@dalalga.gov.ng,user,org_gov_lga_02,Active
user_017,Ngozi Eze,ngozi.eze@healthforall.org,admin,org_ngo_fed_01,Active
user_018,David Akpan,david.akpan@healthforall.org,sub_admin,org_ngo_fed_01,Active
user_019,Amara Chukwu,amara.chukwu@healthforall.org,user,org_ngo_fed_01,Active
user_020,Hassan Bello,hassan.bello@healthforall-kano.org,sub_admin,org_ngo_state_01,Active
user_021,Aisha Musa,aisha.musa@healthforall-kano.org,user,org_ngo_state_01,Active
user_022,Ibrahim Sani,ibrahim.sani@healthforall-kano.org,user,org_ngo_state_01,Active
user_023,Funmi Adeyemi,funmi.adeyemi@healthforall-lagos.org,sub_admin,org_ngo_state_02,Active
user_024,Tolu Ogunleye,tolu.ogunleye@healthforall-lagos.org,user,org_ngo_state_02,Active
user_025,Patience Okoro,patience.okoro@cah-rivers.org,admin,org_cso_state_01,Active
user_026,Victor Briggs,victor.briggs@cah-rivers.org,sub_admin,org_cso_state_01,Active
user_027,Grace Okafor,grace.okafor@cah-rivers.org,user,org_cso_state_01,Active
user_028,Michael Thompson,michael.thompson@cah-rivers.org,user,org_cso_state_01,Invited
